storeNumber,countryCode,ownershipTypeCode,latitude,longitude
4852-100915,CA,CO,49.883909,-119.476125
79563-103174,CA,LS,49.885817,-119.489366
58255-290135,CA,CO,49.882748,-119.449967
140-2120,CA,CO,49.880755,-119.440845
4482-89003,CA,CO,49.887107,-119.426967
18727-296865,CA,CO,49.909525,-119.44992
4640-99641,CA,CO,49.895743,-119.413248
4201-209164,CA,CO,49.889114,-119.386436
16139-163904,CA,CO,49.8375,-119.615532
4659-100573,CA,CO,49.828233,-119.628634
5077-140164,CA,LS,49.940395,-119.395487
4100-132104,CA,CO,49.951305,-119.387554
20831-207284,CA,CO,50.05397,-119.411781
4972-104887,CA,CO,49.495793,-119.615237
74378-92181,CA,LS,49.484306,-119.588799
51852-279724,CA,CO,49.480449,-119.584099
4501-277760,CA,CO,50.269177,-119.273273
79601-107921,CA,LS,50.275494,-119.275378
4221-46,CA,CO,50.283687,-119.268612
58968-291604,CA,CO,50.288612,-119.268456
74841-100500,CA,LS,49.23206,-123.032935
4723-103830,CA,CO,49.232449,-123.024103
4389-5324,CA,CO,49.219547,-123.041049
4553-101499,CA,CO,49.22509,-123.053517
56496-289940,CA,LS,49.231027,-123.004608
29965-256056,CA,CO,49.226398,-123.004014
15687-157685,CA,CO,49.233639,-123.065709
3067-137671,CA,CO,49.254712,-123.023501
4610-45179,CA,CO,49.225691,-122.996499
4739-103079,CA,CO,49.227217,-122.995201
24247-236889,CA,CO,49.206191,-123.030764
4818-104454,CA,CO,49.258629,-123.030598
22436-210404,CA,CO,49.259644,-123.043793
70310-133529,CA,LS,49.256714,-123.007351
4660-100750,CA,CO,49.264287,-123.013756
74843-99493,CA,LS,49.261923,-123.068225
4464-85803,CA,CO,49.225132,-123.090486
29914-253954,CA,CO,49.265544,-123.004655
27309-246886,CA,LS,49.266855,-123.008052
9039-273384,CA,CO,49.2668,-123.001904
4923-108672,CA,CO,49.26434,-122.981571
4821-104450,CA,CO,49.199331,-122.979197
78056-116695,CA,LS,49.224812,-123.106931
